,alt_title,director,domestic_gross,mojo_slug,opening_per_theater,opening_weekend_take,production_budget,release_date_limited,release_date_wide,title,widest_release,worldwide_gross,year
0,"10,000 B.C. (2008)",Roland Emmerich,94784201.0,10000bc,10518.0,35867488.0,105000000.0,,2008-03-07,"10,000 B.C.",3454.0,269784201.0,2008.0
1,102 Dalmatians (2000),,66957026.0,102dalmatians,7353.0,19883351.0,85000000.0,,2000-11-22,102 Dalmatians ,2704.0,183611771.0,2000.0
2,10 Things I Hate About You (1999),,38178166.0,10thingsihateaboutyou,3668.0,8330681.0,30000000.0,,1999-03-31,10 Things I Hate About You,2311.0,53478166.0,1999.0
3,10 Years (2012),Jamie Linden,203373.0,10years,7569.0,22707.0,,,2012-09-14,10 Years,63.0,203373.0,2012.0
4,11 Flowers (2013),,9213.0,11flowers,1758.0,3516.0,,,2013-02-22,11 Flowers ,2.0,,2013.0
5,The 11th Hour (2007),,707343.0,11thhour,15213.0,60853.0,,,2007-08-17,The 11th Hour,111.0,985207.0,2007.0
6,127 Hours (2010),Danny Boyle,18335230.0,127hours,2333.0,2136801.0,18000000.0,2010-11-05,2011-01-28,127 Hours,916.0,60738797.0,2010.0
7,12 Rounds (2009),Renny Harlin,12234694.0,12rounds,2286.0,5329240.0,,,2009-03-27,12 Rounds,2331.0,17280326.0,2009.0
8,13 Assassins (2011),,802778.0,13assassins,11464.0,45854.0,,,2011-04-29,13 Assassins ,31.0,17555141.0,2011.0
9,13 Going on 30 (2004),Gary Winick,57231747.0,13goingon30,6123.0,21054283.0,37000000.0,,2004-04-23,13 Going on 30,3453.0,96455697.0,2004.0
10,13 Sins (2014),,13809.0,13sins,206.0,9261.0,,,2014-04-18,13 Sins,45.0,13809.0,2014.0
11,The 13th Warrior (1999),John McTiernan,32698899.0,13thwarrior,4452.0,10267756.0,160000000.0,,1999-08-27,The 13th Warrior ,2313.0,61698899.0,1999.0
12,13 Tzameti (2006),,121390.0,13tzameti,10805.0,10805.0,,,2006-07-28,13 Tzameti,6.0,795223.0,2006.0
13,1408 (2007),Mikael Hafstrom,71985628.0,1408,7698.0,20617667.0,25000000.0,,2007-06-22,1408,2733.0,131998242.0,2007.0
14,16 Blocks (2006),Richard Donner,36895141.0,16blocks,4381.0,11855260.0,,,2006-03-03,16 Blocks,2706.0,65664721.0,2006.0
15,17 Again (2009),Burr Steers,64167069.0,17again,7288.0,23722310.0,,,2009-04-17,17 Again,3255.0,136267476.0,2009.0
16,2001: A Space Odyssey (1968),,56954992.0,2001,,,12000000.0,,1968-04-03,2001:A Space Odyssey,,,1968.0
17,2012 (2009),Roland Emmerich,166112167.0,2012,19165.0,65237614.0,200000000.0,,2009-11-13,2012,3444.0,769679473.0,2009.0
18,2016 Obama's America (2012),Dinesh D'SouzaJohn Sullivan,33449086.0,2016obamasamerica,5966.0,6509433.0,,2012-07-13,2012-08-24,2016 Obama's America,2017.0,,2012.0
19,2046 (2005),Wong Kar Wai,1444588.0,2046,28268.0,113074.0,12000000.0,,2005-08-05,2046,61.0,19470239.0,2005.0
